x	y	head	predict
73.900000	34.200000	0.000000	0.067851
74.500000	34.800000	0.000000	0.069420
89.900000	53.200000	1.000000	0.106051
78.200000	56.700000	0.000000	0.079215
62.000000	49.000000	0.000000	0.042297
79.400000	69.500000	0.000000	0.082446
88.000000	43.100000	1.000000	0.099258
75.000000	20.500000	0.000000	0.071223
84.300000	68.100000	0.000000	0.099204
93.900000	63.700000	0.000000	0.141042
77.800000	40.800000	0.000000	0.078569
89.300000	61.700000	0.000000	0.119616
91.600000	52.800000	0.000000	0.130494
73.900000	39.800000	0.000000	0.067680
89.200000	68.200000	0.000000	0.118852
86.000000	56.600000	0.000000	0.106197
84.300000	55.100000	0.000000	0.099766
93.700000	68.600000	0.000000	0.139758
89.900000	52.700000	0.000000	0.122722
77.400000	67.300000	0.000000	0.076472
87.300000	60.900000	0.000000	0.111208
99.100000	33.100000	0.000000	0.171264
92.400000	52.400000	1.000000	0.116307
81.100000	66.300000	0.000000	0.088051
7.700000	50.700000	0.000000	0.004642
77.300000	73.800000	0.000000	0.075960
79.400000	66.700000	0.000000	0.082548
93.900000	52.100000	0.000000	0.141721
88.800000	32.800000	1.000000	0.102714
84.800000	39.500000	0.000000	0.102328
72.300000	36.900000	0.000000	0.063703
84.100000	63.400000	0.000000	0.098668
94.700000	59.000000	1.000000	0.126102
76.100000	72.400000	0.000000	0.072592
93.300000	53.600000	0.000000	0.138641
76.300000	70.500000	0.000000	0.073213
80.500000	48.500000	0.000000	0.086755
94.000000	68.700000	0.000000	0.141252
79.900000	36.900000	0.000000	0.085242
73.800000	61.400000	0.000000	0.066768
93.500000	52.200000	1.000000	0.121079
78.900000	70.400000	0.000000	0.080862
86.800000	68.200000	0.000000	0.108837
86.100000	60.600000	0.000000	0.106407
77.300000	32.300000	0.000000	0.077376
94.200000	49.800000	1.000000	0.124321
85.400000	54.700000	0.000000	0.103948
90.600000	63.100000	0.000000	0.125324
69.300000	64.500000	0.000000	0.055979
91.500000	29.000000	0.000000	0.131329
88.200000	30.500000	0.000000	0.116442
93.000000	70.500000	0.000000	0.136204
74.800000	64.700000	0.000000	0.069291
92.400000	69.500000	0.000000	0.133364
90.600000	35.600000	0.000000	0.126785
83.400000	40.100000	0.000000	0.097102
71.100000	78.200000	0.000000	0.059677
84.600000	47.400000	0.000000	0.101224
76.900000	59.400000	0.000000	0.075288
93.000000	63.700000	1.000000	0.118314
93.300000	42.300000	0.000000	0.139293
88.000000	53.400000	0.000000	0.114470
74.300000	85.600000	0.000000	0.067333
80.100000	39.400000	0.000000	0.085796
95.200000	64.700000	1.000000	0.128093
90.000000	66.000000	1.000000	0.105858
77.600000	30.700000	0.000000	0.078322
78.600000	29.000000	0.000000	0.081424
74.500000	56.300000	0.000000	0.068753
89.900000	53.200000	0.000000	0.122696
75.600000	65.600000	0.000000	0.071428
88.600000	28.300000	0.000000	0.118267
73.600000	58.800000	0.000000	0.066332
90.700000	54.400000	1.000000	0.109175
92.000000	55.800000	0.000000	0.132218
69.900000	46.600000	0.000000	0.057774
75.800000	50.600000	0.000000	0.072463
74.400000	68.000000	0.000000	0.068130
87.500000	52.400000	1.000000	0.097029
