start	id	short_name	tsr_for
2014	129	Lille	0.263
2014	138	Lens	0.737
2014	124	Marseille	0.533
2014	130	Metz	0.467
2014	126	Caen	0.281
2014	131	Lyon	0.719
2014	136	Bordeaux	0.632
2014	137	Nantes	0.368
2014	123	Bastia	0.778
2014	132	Rennes	0.222
2014	135	Montpellier	0.407
2014	138	Lens	0.593
2014	130	Metz	0.344
2014	134	Lorient	0.656
2014	125	Evian	0.44
2014	141	Reims	0.56
2014	128	St Etienne	0.688
2014	139	Nice	0.313
2014	127	Guingamp	0.286
2014	142	PSG	0.714
2014	129	Lille	0.833
2014	140	Toulouse	0.167
2014	124	Marseille	0.455
2014	133	Monaco	0.545
2014	138	Lens	0.667
2014	139	Nice	0.333
2014	135	Montpellier	0.077
2014	142	PSG	0.923
2014	130	Metz	0.655
2014	133	Monaco	0.345
2014	123	Bastia	0.409
2014	126	Caen	0.591
2014	127	Guingamp	0.45
2014	140	Toulouse	0.55
2014	132	Rennes	0.368
2014	141	Reims	0.632
2014	134	Lorient	0.588
2014	137	Nantes	0.412
2014	124	Marseille	0.542
2014	129	Lille	0.458
2014	125	Evian	0.462
2014	128	St Etienne	0.538
2014	131	Lyon	0.621
2014	136	Bordeaux	0.379
2014	125	Evian	0.353
2014	129	Lille	0.647
2014	124	Marseille	0.5
2014	135	Montpellier	0.5
2014	123	Bastia	0.375
2014	142	PSG	0.625
2014	134	Lorient	0.2
2014	139	Nice	0.8
2014	127	Guingamp	0.583
2014	138	Lens	0.417
2014	125	Evian	0.45
2014	132	Rennes	0.55
2014	128	St Etienne	0.35
2014	141	Reims	0.65
2014	126	Caen	0.263
2014	129	Lille	0.737
2014	131	Lyon	0.471
2014	140	Toulouse	0.529
2014	130	Metz	0.45
2014	137	Nantes	0.55
2014	133	Monaco	0.609
2014	136	Bordeaux	0.391
2014	136	Bordeaux	0.444
2014	139	Nice	0.556
2014	131	Lyon	0.381
2014	138	Lens	0.619
2014	126	Caen	0.571
2014	141	Reims	0.429
2014	123	Bastia	0.222
2014	140	Toulouse	0.778
2014	133	Monaco	0.48
2014	137	Nantes	0.52
2014	130	Metz	0.333
2014	135	Montpellier	0.667
2014	129	Lille	0.56
2014	134	Lorient	0.44
2014	125	Evian	0.353
2014	142	PSG	0.647
2014	128	St Etienne	0.4
2014	132	Rennes	0.6
2014	124	Marseille	0.667
2014	127	Guingamp	0.333
